Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
GB-1	Yes	Brain cancer	Glioblastoma	Primary	Male, 35	Central nervous system	CVCL_1227
GCIY	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 39	Ascites	CVCL_1228
GCT	Yes	Sarcoma	Pleomorphic Sarcoma	Metastasis	Male, 29	Soft tissue	CVCL_1229
GDM-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		Female, 66	Haematopoietic and lymphoid tissue	CVCL_1230
GI-1	Yes	Brain cancer	Glioblastoma	Primary	Male, 61	Central nervous system	CVCL_1231
GMS-10	Yes	Brain cancer	Glioblastoma	Primary	Male, 49	Central nervous system	CVCL_1233
GOS-3	Yes	Brain cancer	Glioblastoma	Primary	Male, 64	Central nervous system	CVCL_2050
GP2d	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 71	Colon	CVCL_2450
Granta-519	Yes	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	Primary	Female, 58	Haematopoietic and lymphoid tissue	CVCL_1818
GSS	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 75	Liver	CVCL_8876
GSU	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 37	Ascites	CVCL_8877
GTL-16	Yes	Gastric cancer	Adenocarcinoma	Metastasis		Liver	CVCL_7668
H4	Yes	Brain cancer	Glioma	Primary	Male, 37	Central nervous system	CVCL_1239
HaCaT	No	Non-cancerous			Male		CVCL_0038
HAP1	Yes	Leukemia			Male	Bone marrow	CVCL_Y019
HARA [Human squamous cell lung carcinoma]	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 57	Pleural effusion	CVCL_2914
HBEC3-KT	No	Non-cancerous			Female, 65		CVCL_X491
HBF/TERT88	No	Non-cancerous			Female		CVCL_9Q52
HBL-100	No	Uncategorized					CVCL_4362
HCA7	Yes	Colorectal cancer	Adenocarcinoma	Primary		Colon	CVCL_0289
HCC-56	Yes	Colorectal cancer	Adenocarcinoma		Female	Large intestine	CVCL_2917
HCC1011	Yes	Kidney cancer					CVCL_V675
HCC1143	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 52	Breast	CVCL_1245
HCC1162	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary		Endometrium	CVCL_V651
HCC1171	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 58	Lung	CVCL_5126
HCC1187	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 41	Breast	CVCL_1247
HCC1195	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	Primary	Male, 47	Lung	CVCL_5127
HCC1263	Yes	Colorectal cancer					CVCL_V686
HCC1319	Yes	Kidney cancer					CVCL_V671
HCC1359	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Female, 55	Lung	CVCL_5128
HCC1395	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 43	Breast	CVCL_1249
HCC1419	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 42	Breast	CVCL_1251
HCC1428	Yes	Breast cancer	Carcinoma	Metastasis	Female, 49	Pleural effusion	CVCL_1252
HCC1438	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Male, 43	Lung	CVCL_L088
HCC1482	Yes	Cervical cancer					CVCL_V591
HCC1493	Yes	Breast cancer					CVCL_V592
HCC15	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 47	Lung	CVCL_2057
HCC1500	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 32	Breast	CVCL_1254
HCC1534	Yes	Lung cancer					CVCL_V595
HCC1569	Yes	Breast cancer	Carcinoma	Primary	Female, 70	Breast	CVCL_1255
HCC1576	Yes	Adrenocortical cancer					CVCL_V597
HCC1588	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Female, 63	Lung	CVCL_A351
HCC1599	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 44	Breast	CVCL_1256
HCC1806	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 60	Breast	CVCL_1258
HCC1833	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 69	Lung	CVCL_5129
HCC193	Yes	Lung cancer		Primary		Lung	CVCL_5130
HCC1937	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 24	Breast	CVCL_0290
HCC1954	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 61	Breast	CVCL_1259
HCC202	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 82	Breast	CVCL_2062
HCC2108	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 59	Lung	CVCL_A352
HCC2157	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 48	Breast	CVCL_1261
HCC2218	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 38	Breast	CVCL_1263
HCC2270	Yes	Lung cancer					CVCL_V635
HCC2279	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 52	Lung	CVCL_5131
HCC2302	Yes	Lung cancer					CVCL_V636
HCC2429	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified		Female, 34	Lung	CVCL_5132
HCC2450	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma		Male, 52	Lung	CVCL_5133
HCC2688	Yes	Breast cancer				Breast	CVCL_3376
HCC2814	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma		Male, 55	Lung	CVCL_V586
HCC2885	Yes	Lung cancer					CVCL_V588
HCC2911	Yes	Breast cancer					CVCL_0V16
HCC2935	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 39	Pleural effusion	CVCL_1265
HCC33	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 52	Pleural effusion	CVCL_2058
HCC364	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male, 76	Lung	CVCL_5134
HCC366	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	Primary	Female, 80	Lung	CVCL_2059
HCC38	Yes	Breast cancer	Breast Ductal Carcinoma	Primary	Female, 50	Breast	CVCL_1267
HCC4006	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male	Pleural effusion	CVCL_1269
