Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
MUTZ-3	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		Male, 29	Haematopoietic and lymphoid tissue	CVCL_1433
MUTZ-5	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Male, 26	Haematopoietic and lymphoid tissue	CVCL_1873
MV4-11	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	Male, 10	Haematopoietic and lymphoid tissue	CVCL_0064
MX-1	Yes	Breast cancer			29	Breast	CVCL_4774
NALM-1	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Female, 3	Haematopoietic and lymphoid tissue	CVCL_0091
NALM-19	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Male, 26	Haematopoietic and lymphoid tissue	CVCL_1835
NALM-6	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Male, 19	Haematopoietic and lymphoid tissue	CVCL_0092
Namalwa	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		Female, 3	Haematopoietic and lymphoid tissue	CVCL_0067
NB1	Yes	Neuroblastoma		Metastasis	Male, 2	Lymph node	CVCL_1440
NB4	Yes	Leukemia		Primary	Female, 23	Bone marrow	CVCL_0005
NCC-StC-K140	Yes	Gastric cancer	Adenocarcinoma		Female, 36	Stomach	CVCL_3055
NCE-G 111	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N739
NCE-G 118	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N741
NCE-G 120	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N742
NCE-G 121	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N743
NCE-G 122	Yes	Brain cancer					CVCL_N744
NCE-G 124	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N746
NCE-G 130	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N747
NCE-G 140	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N748
NCE-G 22	Yes	Brain cancer				Central_nervous_system	CVCL_N723
NCE-G 28T	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_0V15
NCE-G 44	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N727
NCE-G 59	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N729
NCE-G 61	Yes	Brain cancer		Primary		Central_nervous_system	CVCL_N731
NCE-G 84	Yes	Brain cancer					CVCL_N735
NCI-H1048	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 53	Pleural effusion	CVCL_1453
NCI-H1092	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 67	Bone marrow	CVCL_1454
NCI-H1105	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 73	Lymph node	CVCL_1455
NCI-H1155	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 36	Lymph node	CVCL_1456
NCI-H1184	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 42	Lymph node	CVCL_1458
NCI-H1299	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 43	Lymph node	CVCL_0060
NCI-H1341	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 26	Cervix	CVCL_1463
NCI-H1355	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 53	Pleural effusion	CVCL_1464
NCI-H1373	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 56	Lung	CVCL_1465
NCI-H1385	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Female, 49	Lymph node	CVCL_1466
NCI-H1395	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 55	Lung	CVCL_1467
NCI-H1435	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 35	Lung	CVCL_1470
NCI-H1436	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 39	Lymph node	CVCL_1471
NCI-H1437	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 60	Pleural effusion	CVCL_1472
NCI-H146	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 59	Bone marrow	CVCL_1473
NCI-H1563	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male	Lung	CVCL_1475
NCI-H1568	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 48	Lymph node	CVCL_1476
NCI-H157	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 59	Pleural effusion	CVCL_0463
NCI-H1573	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 35	Soft tissue	CVCL_1478
NCI-H1581	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Male, 44	Lung	CVCL_1479
NCI-H1618	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 55	Bone marrow	CVCL_1480
NCI-H1623	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 58	Lymph node	CVCL_1481
NCI-H1648	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 39	Lymph node	CVCL_1482
NCI-H1650	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 27	Pleural effusion	CVCL_1483
NCI-H1651	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 71	Lung	CVCL_1484
NCI-H1666	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 50	Pleural effusion	CVCL_1485
NCI-H1693	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 55	Lymph node	CVCL_1488
NCI-H1694	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 61	Ascites	CVCL_1489
NCI-H1703	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 54	Lung	CVCL_1490
NCI-H1734	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 56	Lung	CVCL_1491
NCI-H1755	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 65	Liver	CVCL_1492
NCI-H1770	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Metastasis	57	Lymph_node	CVCL_1493
NCI-H1781	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 66	Pleural effusion	CVCL_1494
NCI-H1792	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 50	Pleural effusion	CVCL_1495
NCI-H1793	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 52	Lung	CVCL_1496
NCI-H1819	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 55	Lymph node	CVCL_1497
NCI-H1836	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Male, 52	Lung	CVCL_1498
NCI-H1838	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female	Lung	CVCL_1499
NCI-H1869	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 58	Pleural effusion	CVCL_1500
NCI-H187	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	47	Pleural_effusion	CVCL_1501
NCI-H1876	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 59	Lymph node	CVCL_1503
NCI-H1882	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis		Bone_marrow	CVCL_1504
NCI-H1915	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Female, 61	Central nervous system	CVCL_1505
NCI-H1930	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 41	Lymph node	CVCL_1507
NCI-H1944	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 62	Soft tissue	CVCL_1508
NCI-H196	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 68	Pleural effusion	CVCL_1509
NCI-H1963	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Male, 56	Lung	CVCL_1510
NCI-H1975	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female	Lung	CVCL_1511
NCI-H2004RT	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Male	Soft tissue	CVCL_WS70
NCI-H2009	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 68	Lymph node	CVCL_1514
NCI-H2023	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 26	Lymph node	CVCL_1515
NCI-H2029	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 69	Lymph node	CVCL_1516
NCI-H2030	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male	Lymph node	CVCL_1517
NCI-H2052	Yes	Lung cancer	Mesothelioma	Metastasis	Male, 65	Pleural effusion	CVCL_1518
NCI-H2066	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Female, 70	Lung	CVCL_1520
NCI-H2073	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 47	Lung	CVCL_1521
NCI-H2077	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male, 58		CVCL_5157
NCI-H2081	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 59	Pleural effusion	CVCL_1522
NCI-H2085	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 45	Lung	CVCL_1523
NCI-H2087	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 69	Lymph node	CVCL_1524
NCI-H209	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 55	Bone marrow	CVCL_1525
NCI-H2106	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 58	Lymph node	CVCL_1526
NCI-H211	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 50	Bone marrow	CVCL_1529
NCI-H2110	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Metastasis		Pleural effusion	CVCL_1530
NCI-H2122	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Female, 46	Pleural effusion	CVCL_1531
NCI-H2126	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 65	Haematopoietic and lymphoid tissue	CVCL_1532
NCI-H2135	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Primary		Lung	CVCL_1533
NCI-H2170	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male	Lung	CVCL_1535
NCI-H2171	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 50	Pleural effusion	CVCL_1536
NCI-H2172	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Primary	Female	Lung	CVCL_1537
NCI-H2196	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 67	Bone marrow	CVCL_1539
NCI-H2198	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis		Lymph_node	CVCL_1540
NCI-H2227	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Male, 54	Lung	CVCL_1542
NCI-H2228	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female	Lung	CVCL_1543
NCI-H226	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male	Pleural effusion	CVCL_1544
NCI-H2286	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary	Female, 57	Lung	CVCL_1545
NCI-H2291	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male	Lymph node	CVCL_1546
NCI-H23	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 51	Lung	CVCL_1547
NCI-H2342	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 55	Lung	CVCL_1549
NCI-H2347	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 54	Lung	CVCL_1550
NCI-H2369	Yes	Lung cancer	Mesothelioma			Lung	CVCL_A532
NCI-H2373	Yes	Lung cancer	Mesothelioma		0	Lung	CVCL_A533
NCI-H2405	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 47	Ascites	CVCL_1551
NCI-H2444	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	Primary	Male	Lung	CVCL_1552
NCI-H2452	Yes	Lung cancer	Mesothelioma	Metastasis	Male	Pleura	CVCL_1553
NCI-H2461	Yes	Lung cancer	Mesothelioma		0	Lung	CVCL_A536
NCI-H2595	Yes	Lung cancer	Mesothelioma		0	Lung	CVCL_A545
NCI-H2596	Yes	Lung cancer	Mesothelioma				CVCL_A546
NCI-H2722	Yes	Lung cancer	Mesothelioma			Lung	CVCL_U994
NCI-H2795	Yes	Lung cancer	Mesothelioma			Lung	CVCL_U996
NCI-H28	Yes	Lung cancer	Mesothelioma	Metastasis	Male, 48	Pleural effusion	CVCL_1555
NCI-H2803	Yes	Lung cancer	Mesothelioma			Lung	CVCL_U997
NCI-H2804	Yes	Lung cancer	Mesothelioma			Lung	CVCL_U998
NCI-H2810	Yes	Lung cancer	Mesothelioma			Lung	CVCL_U999
NCI-H2882	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma		Female, 61	Lung	CVCL_5158
NCI-H2887	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified		Male, 31	Lung	CVCL_5159
NCI-H292	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma	Metastasis	Female, 32	Lymph node	CVCL_0455
NCI-H3122	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male	Lung	CVCL_5160
NCI-H322	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 52	Lung	CVCL_1556
NCI-H3255	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female, 52	Lung	CVCL_6831
NCI-H345	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	64	Bone_marrow	CVCL_1558
NCI-H358	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male	Lung	CVCL_1559
NCI-H441	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 33	Pericardial effusion	CVCL_1561
NCI-H446	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 61	Pleural effusion	CVCL_1562
NCI-H460	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male	Pleural effusion	CVCL_0459
NCI-H508	Yes	Colorectal cancer	Caecum Adenocarcinoma	Metastasis	Male, 55	Abdomen	CVCL_1564
NCI-H510A	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 56	Autonomic ganglia	CVCL_1565
NCI-H520	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male	Lung	CVCL_1566
NCI-H522	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 58	Lung	CVCL_1567
NCI-H524	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 63	Lymph node	CVCL_1568
NCI-H526	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 55	Bone marrow	CVCL_1569
NCI-H596	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	Primary	Male, 73	Lung	CVCL_1571
NCI-H647	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	Metastasis	Male, 56	Pleural effusion	CVCL_1574
NCI-H650	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male	Lung	CVCL_1575
NCI-H660	Yes	Prostate cancer	Small Cell Carcinoma	Metastasis	Male, 63	Lymph node	CVCL_1576
NCI-H661	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 43	Lymph node	CVCL_1577
NCI-H684	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 55	Liver	CVCL_9980
NCI-H69	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 55	Pleural effusion	CVCL_1579
NCI-H716	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 33	Ascites	CVCL_1581
NCI-H727	Yes	Lung cancer	Carcinoid	Primary	Female, 65	Lung	CVCL_1584
NCI-H747	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 69	Large intestine	CVCL_1587
NCI-H810	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Male, 51	Lung	CVCL_1590
NCI-H82	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 41	Pleural effusion	CVCL_1591
NCI-H820	Yes	Lung cancer		Metastasis		Lymph_node	CVCL_1592
NCI-H838	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Metastasis	Male, 59	Lymph node	CVCL_1594
NCI-H841	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Male, 51	Lung	CVCL_1595
NCI-H847	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	63	Pleural_effusion	CVCL_1596
NCI-H854	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 75	Lung	CVCL_A584
NCI-H889	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Metastasis	Female, 69	Lymph node	CVCL_1598
NCI-H920	Yes	Lung cancer					CVCL_1599
NCI-H929	Yes	Myeloma	Multiple Myeloma, plasmacytoma	Metastasis	Female, 62	Pleural effusion	CVCL_1600
NCI-N417	Yes	Lung cancer	Small Cell Lung Cancer (SCLC)	Primary		Lung	CVCL_1602
NCI-N87	Yes	Gastric cancer	Adenocarcinoma, tubular	Metastasis	Male	Liver	CVCL_1603
NCO2	Yes	Leukemia	Chronic Myelogenous Leukemia (CML)		Female, 35	Haematopoietic and lymphoid tissue	CVCL_3043
NH-6	Yes	Neuroblastoma		Metastasis	Female, 0	Autonomic ganglia	CVCL_1606
NHAHTDD	No	Non-cancerous			Male	Central nervous system	CVCL_WS73
NMC-G1	Yes	Brain cancer	Glioblastoma	Primary	Female	Central nervous system	CVCL_1608
NOMO-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	Primary	Female, 31	Bone marrow	CVCL_1609
NTERA-2	No	Uncategorized		Metastasis	22	Lung	CVCL_0034
NU-DHL-1	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Male, 73	Lymph node	CVCL_1876
NU-DUL-1	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)		Male, 43	Central nervous system	CVCL_1877
NUGC-2	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 56	Lymph node	CVCL_1611
NUGC-3	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 72	Soft tissue	CVCL_1612
NUGC-4	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 35	Lymph node	CVCL_3082
OAW28	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 75	Ascites	CVCL_1614
OAW42	Yes	Ovarian cancer	Carcinoma	Metastasis	Female, 46	Ascites	CVCL_1615
OC 314	Yes	Ovarian cancer	Cystadenocarcinoma, clear cell	Metastasis	Female, 39	Ascites	CVCL_1616
OCI-AML-2	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	Primary	Male, 65	Haematopoietic and lymphoid tissue	CVCL_1619
OCI-AML-3	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	Primary	Male, 57	Haematopoietic and lymphoid tissue	CVCL_1844
OCI-AML-5	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	Male, 77	Haematopoietic and lymphoid tissue	CVCL_1620
OCI-Ly10	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)		66	Lymph_node	CVCL_8795
OCI-Ly19	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary	Female, 27	Bone marrow	CVCL_1878
OCI-Ly3	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary	Male, 52	Bone marrow	CVCL_8800
OCI-Ly7	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary	48	Haematopoietic_and_lymphoid_tissue	CVCL_1881
OCI-M1	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)		62	Haematopoietic and lymphoid tissue	CVCL_2149
OCI-M2	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	56	Haematopoietic_and_lymphoid_tissue	CVCL_2150
OCI-My5	Yes	Myeloma	Multiple Myeloma		Male	Haematopoietic and lymphoid tissue	CVCL_E332
OCI-My7	Yes	Myeloma	Multiple Myeloma		Male	Haematopoietic and lymphoid tissue	CVCL_E333
OCUM-1	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 38	Stomach	CVCL_3084
OE19	Yes	Esophageal cancer		Primary	Male, 72	Oesophagus	CVCL_1622
OE21	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 74	Oesophagus	CVCL_2661
OE33	Yes	Esophageal cancer	Adenocarcinoma	Primary	Female, 73	Oesophagus	CVCL_0471
OELE	No	Non-cancerous			Female	Ovary	CVCL_IW56
Okajima	Yes	Gastric cancer		Metastasis		Pleural_effusion	CVCL_9815
ONCO-DG-1	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 60	Ascites	CVCL_1882
ONS-76	Yes	Brain cancer	Medulloblastoma	Primary	Female, 2	Central nervous system	CVCL_1624
OPM-1	Yes	Myeloma	Multiple Myeloma		Female, 56	Haematopoietic and lymphoid tissue	CVCL_5210
OPM-2	Yes	Myeloma	Multiple Myeloma	Primary	Female, 56	Haematopoietic and lymphoid tissue	CVCL_1625
OS-RC-2	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Male, 52	Kidney	CVCL_1626
OUMS-23	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 37	Pericardial effusion	CVCL_3088
OV-90	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 64	Ascites	CVCL_3768
OV56	Yes	Ovarian cancer	Adenocarcinoma, serous	Metastasis	Female, 46	Ascites	CVCL_2673
OV7	Yes	Ovarian cancer	Adenocarcinoma, mixed	Primary	Female, 78	Ovary	CVCL_2675
OVCA420	Yes	Ovarian cancer	Adenocarcinoma, serous			Ovary	CVCL_3935
OVCA432	Yes	Ovarian cancer	Adenocarcinoma, serous	Primary		Ovary	CVCL_3769
OVCA433	Yes	Ovarian cancer	Adenocarcinoma, serous			Ovary	CVCL_0475
OVCAR-3	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 60	Ascites	CVCL_0465
OVCAR-4	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 42	Ascites	CVCL_1627
OVCAR-5	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	67	Ascites	CVCL_1628
OVCAR-8	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 64	Ovary	CVCL_1629
OVISE	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Metastasis	Female, 40	Bone	CVCL_3116
OVK18	Yes	Ovarian cancer	Adenocarcinoma, endometrioid	Metastasis	Female, 49	Ascites	CVCL_3770
OVKATE	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 40	Ovary	CVCL_3110
OVMANA	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Primary	Female, 51	Ovary	CVCL_3111
OVSAHO	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 56	Abdomen	CVCL_3114
OVTOKO	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Metastasis	Female, 78	Spleen	CVCL_3117
P12-Ichikawa	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Male, 7	Haematopoietic and lymphoid tissue	CVCL_1630
P31/FUJ	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)		Male, 7	Haematopoietic and lymphoid tissue	CVCL_1632
P3HR-1	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		Male, 7	Ascites	CVCL_2676
PA-1	Yes	Ovarian cancer		Metastasis	12	Ascites	CVCL_0479
Panc 02.03	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 70	Pancreas	CVCL_1633
Panc 02.13	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 64	Pancreas	CVCL_1634
Panc 03.27	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 65	Pancreas	CVCL_1635
Panc 04.03	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 70	Pancreas	CVCL_1636
Panc 05.04	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 77	Pancreas	CVCL_1637
Panc 08.13	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 85	Pancreas	CVCL_1638
Panc 10.05	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 81	Pancreas	CVCL_1639
PANC-1	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 56	Pancreas	CVCL_0480
